,id,価格,車両名,メーカー,型式番号,モデル年,排気量,色,タイプ,走行距離,保証期間,初年度登録年月,次回車検,入荷日,在庫店舗,店舗在庫,備考
0,2100005811378,1180000,KAWASAKI ZX-6RA KRT Edition ミドルクラスSSの雄の躍動する存在感をその手に！人気のカワサキカラーの車検付きワンオーナー車は早い者勝ち☆,KAWASAKI,2BL-ZX636G,2019,636,緑/ｶﾞﾝﾒﾀ,スポーツ/ツアラー,11079,3,2019-07,2024-08-04,2023-08-20,京都伏見店,0120-37-8190,[]
1,2100004346772,538000,HONDA ＣＴ１２５ハンターカブ,HONDA,2BJ-JA55,2020,125,グリーン,ネイキッド,2,1,-,-,-,相模大野店,0120-37-8190,"['２０２０年モデル', '前後ドラレコ装備', 'バッテリー新品']"
2,2100004884793,238000,HONDA リトルカブ,HONDA,BA-AA01,2005,88,インディグレーメタリック,ネイキッド,14756,3ヶ月,-,-,-,つくば絶版車館,029-721-8190,"['LM5', 'セル付', 'カブラ仕様', '88㏄ボアアップ']"
3,2100005470322,1198000,Harley-Davidson NIGHTSTER [ RH975 ],Harley-Davidson,8BL-RH1,2021,975,黒,ネイキッド,13,7,2023-02,2026-02-23,-,名古屋みなと店,0120-37-8190,"['【マル得】', '2021年式モデル', '低走行車両!']"
4,2100006060362,138000,YAMAHA JOG【通勤通学におすすめです☆】,YAMAHA,2BH-AY01,2018,50,黒,スクーター/ビッグスクーター,22052,3ヶ月,-,-,-,太宰府店,0120-37-8190,[]
5,2100006249019,328000,HONDA ＬＥＡＤ１２５,HONDA,EBJ-JF45,2020,125,白,スクーター/ビッグスクーター,1457,1,-,-,2023-10-31,イオンモール鈴鹿店,0120-37-8190,['★２０２０年モデル／フルノーマル★']
6,2100006115376,898000,KAWASAKI W800！2016年ﾓﾃﾞﾙ!,KAWASAKI,EBL-EJ800A,2016,800,茶/ｵﾚﾝｼﾞ,ネイキッド,14846,3,2016-09,2025-09-15,2023-10-08,姫路店,0120-37-8190,[]
7,2100005985017,358000,SUZUKI GSR250,SUZUKI,GJ55D,2012,250,青/白,ネイキッド,6499,3ヶ月,-,-,2023-09-17,仙台店,0120-37-8190,['ノーマル車両／2012年モデル']
8,2100005086578,378000,SUZUKI バーグマン200,SUZUKI,JBK-CH41A,2014,200,白,スクーター/ビッグスクーター,5723,1,-,-,2023-08-05,岡山店,0120-37-8190,['大容量メットインと丁度いいサイズ感が扱いやすいコミューター！グリップヒーターなど装備も充実!']
9,2100005648387,1198000,HONDA 【マル得車両】CB1100EX,HONDA,EBL-SC65,2018,1100,赤,ネイキッド,19624,3,2019-11,2024-11-05,-,仙台店,0120-37-8190,['グリップヒーター／LEDヘッドライト／２０１８年モデル']
10,2100005867672,698000,YAMAHA MT-09,YAMAHA,EBL-RN34J,2014,900,紫,ネイキッド,24934,1,2015-09,-,2023-08-29,前橋インター店,0120-37-8190,"['2014年モデル', 'サイドバッグ', 'トップケース装備']"
11,2100006046373,548000,HONDA モンキー,HONDA,JBH-AB27,2012,50,青/白,ネイキッド,7621,3ヶ月,-,-,2023-09-26,新横浜店,0120-37-8190,"['88ccボアアップ車両', 'フロントバスケット付']"
12,2100006193558,628000,HONDA フォルツァ！2018年モデル!,HONDA,BA-MF06,2018,250,白/青,スクーター/ビッグスクーター,10223,3,-,-,2023-10-22,姫路店,0120-37-8190,[]
13,2100005892476,328000,YAMAHA マジェスティ250,YAMAHA,BA-SG03J,2012,250,紺,スクーター/ビッグスクーター,5278,3ヶ月,-,-,-,高石店,0120-37-8190,"['2012年式', 'カスタムMF']"
14,2100006162172,246000,HONDA ズーマー,HONDA,JBH-AF58,2011,50,黒,スクーター/ビッグスクーター,6251,3ヶ月,-,-,2023-10-16,神戸伊川谷店,0120-37-8190,['サイドスタンド装備！普段の足にいかがでしょうか!']
15,2100004340220,298000,HONDA 【マル得】クロスカブ110,HONDA,2BJ-JA45,2019,110,カーキ,ネイキッド,12194,3ヶ月,-,-,-,上熊本店,0120-37-8190,['街乗り遠出までどこでも乗れる人気の一台']
16,2100002880414,648000,HONDA 【マル得車両】ＧＢ３５０,HONDA,2BL-NC59,2021,350,レッド,ネイキッド,2537,7,2021-04,2024-04-22,-,小倉店,0120-37-8190,"['ワンオーナー', 'ＵＳＢポート装備']"
17,2100006083033,528000,YAMAHA ＹＺＦ－Ｒ２５,YAMAHA,2BK-RG43J,2021,250,マットブラック,スポーツ/ツアラー,93,7,-,-,2023-10-03,新横浜店,0120-37-8190,"['マルチバー', 'ＵＳＢ電源', 'スマホホルダー装備']"
18,2100006145113,228000,HONDA BENLY 110,HONDA,EBJ-JA09,2012,110,水色,スクーター/ビッグスクーター,5478,3ヶ月,-,-,2023-10-14,新潟店,0120-37-8190,['２０１２年モデル／Fフェンダー／Rフェンダー／シートカバー／純正インナーラッグ／キャリア']
19,2100005759380,1380000,SUZUKI GSX-S1000,SUZUKI,8BL-EK1AA,2023,1000,-,ネイキッド,571,7,2023-04,2025-04-06,-,草加店,0120-37-8190,"['ABS', '2023年モデル／EK1AA型／縦2灯六角形LED ヘッドランプ／フル液晶ディスプレイ／鍵2本']"
20,2100005497855,278000,HONDA グロム 2014年モデル大型スクリーン、リアボックス装備車両,HONDA,EBJ-JC61,2014,125,黒,オフロード/モタード,2466,3ヶ月,-,-,-,伊丹店,0120-37-8190,[]
21,2100005976985,798000,SUZUKI GSX-S750 ABS,SUZUKI,2BL-C533F,2019,750,青,ネイキッド,10118,3,2017-04,2024-06-05,-,ラパークいわき店,0120-37-8190,['LCIPARTS製スリップオンマフラー／Puig制ロングスクリーン／DAYTONA製USBソケット']
22,2100006132298,538000,SUZUKI SV650 2018年モデルシート、スクリーン、エキパイ等カスタム,SUZUKI,2BL-VP55B,2018,650,黒,ネイキッド,19296,3,2018-06,2025-06-11,-,伊丹店,0120-37-8190,[]
23,2100005990479,1128000,Harley-Davidson XL883N【アイアン】バンス＆ハインズマフラー,Harley-Davidson,LE2,2011,883,黒,アメリカン/クルーザー,21428,3ヶ月,2011-02,2024-05-28,2023-09-18,北九州店,0120-37-8190,"['ビキニカウル', '1人乗り仕様']"
24,2100006212280,378000,HONDA PCX【環境に優しいESP+エンジン採用☆】,HONDA,2BJ-JK05,2021,125,ガンメタ,スクーター/ビッグスクーター,7843,3ヶ月,-,-,-,福岡店,0120-37-8190,[]
25,2100005436595,388000,SUZUKI GLADIUS （グラディウス）400,SUZUKI,EBL-VK58A,2011,400,ブルー／ホワイト,ネイキッド,20477,3ヶ月,2012-04,-,-,上尾店,0120-37-8190,['ABS／2011年モデル／カスタムブレーキレバー・クラッチレバー／Ping製スクリーン装備']
26,2100006134803,678000,HONDA CB650F,HONDA,2BL-RC83,2017,650,赤／銀,ネイキッド,19706,3,2019-03,2024-03-24,2023-10-12,新潟店,0120-37-8190,['２０１７年モデル／スクリーン／シガーソケット／前後タイヤ新品交換']
27,2100004062665,578000,SUZUKI ST250E,SUZUKI,JBK-NJ4CA,2008,250,黒,ネイキッド,6291,3ヶ月,-,-,-,ラパークいわき店,0120-37-8190,['2008年モデル／タイヤ前後新品サービス／フルノーマル／インジェクションモデル']
28,2100004083974,2598000,SUZUKI GS1200SS K1 ヨシムラカラー,SUZUKI,BC-GV78A,2001,1200,パールヘリオスレッド/スズキブラック,スポーツ/ツアラー,23420,1ヶ月,2002-02,2024-01-07,2022-10-23,つくば絶版車館,029-721-8190,[]
