,id,価格,車両名,メーカー,型式番号,モデル年,排気量,色,タイプ,走行距離,保証期間,初年度登録年月,次回車検,入荷日,在庫店舗,店舗在庫,備考
0,2100006030938,1788000,Harley-Davidson CVO Road Glide Ultra [ CVO FLTRUSE1800 ],Harley-Davidson,TA8,2011,1800,黒,アメリカン/クルーザー,28793,3ヶ月,2011-09,2024-09-08,-,広島店,0120-37-8190,[]
1,2100006134285,968000,YAMAHA XSR900,YAMAHA,EBL-RN46J,2018,900,赤,ネイキッド,8103,5,2018-12,-,-,京都松井山手店,0120-37-8190,"['2018年モデル', 'ハンドル・ステップなどカスタム多数!']"
2,2100005937795,980000,BMW F900R ABS,BMW,0K11,2020,900,白赤,ネイキッド,9449,5,2020-02,2025-02-25,2023-09-10,草加店,0120-37-8190,['ETC標準装備モデル／2020年モデル／サイドバッグ']
3,2100006176971,1100000,HONDA ＶＦＲ１２００Ｆ,HONDA,EBL-SC63,2011,1200,レッド,スポーツ/ツアラー,3892,3ヶ月,2011-10,2024-10-18,-,荒川沖店,0120-37-8190,"['ＤＣＴ', '国内仕様', 'ワンオーナー車', '☆★純正フルパニア装備！★☆']"
4,2100004974470,948000,YAMAHA XJR400RⅡ,YAMAHA,4HM,1996,400,ブラック２,ネイキッド,20521,1ヶ月,1996-04,-,-,つくば絶版車館,029-721-8190,"['4HM5', '空冷スポーツネイキッド']"
5,2100005143424,828000,HONDA CB400スーパーフォア VTEC Revo,HONDA,EBL-NC42,2014,400,白/赤,ネイキッド,21883,1,2014-09,-,-,ラパークいわき店,0120-37-8190,['フェンダーレス／rizoma製フロントブレーキマスター']
6,2100005485074,176000,SUZUKI アドレス110,SUZUKI,BD-CF11A,2018,110,白,スクーター/ビッグスクーター,7123,3ヶ月,-,-,-,バイク王バイクコンシェルジュ　バイクワールド土山店,078-944-7918,['リアボックス装備でお買い物にも便利です']
7,2100006133820,498000,SUZUKI BURGMAN 400 ABS,SUZUKI,2BL-DU11A,2018,400,黒,スクーター/ビッグスクーター,9143,5,2017-08,-,-,北九州店,0120-37-8190,"['GIVIトップケース', 'アクセサリーソケット', '2018年モデル']"
8,2100006192681,348000,YAMAHA CYGNUS GRYPHUS WGP 60th Anniversary,YAMAHA,8BJ-SEJ4J,2022,125,白赤,スクーター/ビッグスクーター,3348,1,-,-,2023-10-22,金沢店,0120-37-8190,['フルノーマル／ワンオーナー／1000台限定モデル']
9,2100006278972,1458000,KAWASAKI ＺＲＸ１２００ＤＡＥＧ,KAWASAKI,EBL-ZRT20D,2016,1200,ライムグリーン,ネイキッド,35188,3ヶ月,2017-04,2024-04-03,2023-11-05,八王子堀之内店,0120-37-8190,"['ファイナルエディション', 'ＪＭＣＡ認証モリワキマフラー！', 'モリワキ製エンジンスライダー！', 'グリップヒーター装備!']"
10,2100005540001,898000,YAMAHA XSR900 ABS,YAMAHA,EBL-RN46J,2016,900,-,ネイキッド,7896,3,2016-03,-,-,草加店,0120-37-8190,"[""Y'S GEARアルミシートカウル／スライダー""]"
11,2100005494618,1378000,YAMAHA ▽XV1900CUレイダー,YAMAHA,VP27N,2011,1900,青,アメリカン/クルーザー,17344,3ヶ月,2011-06,2024-07-01,2023-07-11,伊丹店,0120-37-8190,['2011年モデル！スクリーン・エンジンガード装備！メインキー2本あり!']
12,2100005391993,1158000,SUZUKI ＧＳＸ－Ｒ１０００,SUZUKI,GT78A,2009,1000,ブルー/ホワイト,スポーツ/ツアラー,11038,3ヶ月,2009-08,-,-,荒川沖店,0120-37-8190,"['Ｋ９', '正規輸入カナダ仕様', '☆★フルノーマルのオススメ車！★☆']"
13,2100006021394,238000,HONDA ＤＩＯ１１０,HONDA,2BJ-JK03,2021,110,紺,スクーター/ビッグスクーター,7698,3ヶ月,-,-,2023-09-23,イオンモール鈴鹿店,0120-37-8190,['★２０２１年モデル／スクリーン／トップケース★']
14,2100006046564,1198000,Ducati スクランブラー,Ducati,2BL-KB01,2018,803,-,ネイキッド,4451,5,2018-05,-,-,GLOBO蘇我店,0120-37-8190,"['ＣａｆｅＲａｃｅｒ', 'Aｋｒａｐｏｖｉｃ製マフラー', 'ＬＥＤウインカー']"
15,2100005733694,498000,YAMAHA MT-03,YAMAHA,2BL-RH13J,2019,300,青黒,ネイキッド,18642,3,2019-06,2024-06-23,2023-08-05,金沢店,0120-37-8190,['DEVILスリップオンマフラー／エンジンスライダー／フェンダーレス／スクリーン／可倒式レバー／USB1口／ワンオーナー／前後タイヤ新品交換']
16,2100006244496,1948000,Harley-Davidson Softail Slim S [ FLSS1800 ]エンジンガード,Harley-Davidson,JS9,2016,1800,オリーブゴールドデニム,アメリカン/クルーザー,15398,3,2016-07,2025-07-27,-,Beat&C 福岡マリナ店,0120-37-8190,['スイングアームバッグ']
17,2100005212489,330000,HONDA ＰＣＸ１２５,HONDA,2BJ-JK05,2021,125,マットディムグレーメタリック,スクーター/ビッグスクーター,6839,3ヶ月,-,-,-,秦野店,0120-37-8190,['ＪＫ０５型２０２１年モデル']
18,2100004947726,548000,YAMAHA YZF-R25,YAMAHA,2BK-RG43J,2019,250,青,スポーツ/ツアラー,4011,5,-,-,-,堺美原店,0120-37-8190,"['2019年モデル', 'マフラーカスタム・フェンダーレス']"
19,2100005194006,300000,HONDA ＰＣＸ１２５,HONDA,2BJ-JK05,2021,125,マットグレー,スクーター/ビッグスクーター,11224,3ヶ月,-,-,-,市川店,0120-37-8190,"['ＡＢＳ', 'ＪＫ０５型', 'ナックルガード装備【マル得】']"
20,2100006053333,248000,HONDA PCX125,HONDA,EBJ-JF28,2010,125,白,スクーター/ビッグスクーター,2308,3ヶ月,-,-,-,郡山店,0120-37-8190,"['フルノーマル', 'アイドリングストップ機能付き', '2010年モデル']"
21,2100005489133,1298000,KAWASAKI ＮＩＮＪＡ ＺＸ－１４Ｒ ,KAWASAKI,ZXT40E,2013,1400,ブラック,スポーツ/ツアラー,9680,1,2013-07,-,-,GLOBO蘇我店,0120-37-8190,"['ＡＢＳ', 'ブライト正規東南アジア仕様', 'フェンダーレスキット装備']"
22,2100005809757,628000,YAMAHA MT-07,YAMAHA,EBL-RM07J,2014,700,艶消しガンメタ,ネイキッド,22020,1,2015-08,2024-08-04,2023-08-19,広島店,0120-37-8190,"['レバー', 'リアサス', 'フェンダーレス', '市街地でも楽しめるように設計された大型ネイキッド!']"
23,2100005932691,1180000,KAWASAKI ＺＲＸ１１００,KAWASAKI,ZRT10C,1997,1100,-,ネイキッド,減算車,3ヶ月,1997-09,-,-,草加店,0120-37-8190,['ＦＣＲキャブレター／ゲイルスピードホイール／ワイバンフルエキマフラー／バックステップ／ＡＣＴＩＶＥサブフレーム']
24,2100005449465,388000,SUZUKI ジクサー２５０,SUZUKI,2BK-ED22B,2021,250,マットブラック,ネイキッド,2315,7,-,-,-,世田谷本店,0120-37-8190,['デイトナ製ハザードスイッチ・リアキャリア装備']
25,2100006110814,978000,HONDA CB400スーパーフォア,HONDA,EBL-NC42,2014,400,青,ネイキッド,6724,1,2014-09,-,2023-10-08,新横浜店,0120-37-8190,"['REVO', 'エンジンガード', '便利なリアBOX付']"
26,2100006015508,638000,HONDA CBR250RR,HONDA,2BK-MC51,2020,250,赤黒,スポーツ/ツアラー,5028,5,-,-,-,盛岡店,0120-37-8190,"['2020年モデル', 'ワンオーナー', 'マルチバー', 'USB装着車輛']"
27,2100005916233,1068000,YAMAHA MT-09トレーサー,YAMAHA,2BL-RN51J,2018,900,ダークグレーメタリックG,ネイキッド,4094,5,2018-05,-,-,岡山店,0120-37-8190,['日常走行もドラマチックなものに変えるアドベンチャーバイクの雄！街に自然に溶け込むダークグレーメタリック!']
28,2100005865272,600000,HONDA INTEGRA 2012年モデルNCシリーズの血統を継ぐ派生モデルスペアキーあり,HONDA,EBL-RC62,2012,700,黒,スポーツ/ツアラー,12830,3ヶ月,2012-06,2024-05-22,-,伊丹店,0120-37-8190,[]
