,id,価格,車両名,メーカー,型式番号,モデル年,排気量,色,タイプ,走行距離,保証期間,初年度登録年月,次回車検,入荷日,在庫店舗,店舗在庫,備考
0,2100006253320,638000,KAWASAKI ＮＩＮＪＡ４００ ,KAWASAKI,2BL-EX400G,2022,400,マッドネイビー,スポーツ/ツアラー,1172,7,2022-06,2025-06-19,-,柏店,0120-37-8190,"['２０２２年モデル', '☆★前後ドラレコ', 'エンジンスライダー', 'ツーリングバック装備★☆']"
1,2100005310062,368000,HONDA 【スピード納車】PCX,HONDA,2BJ-JK05,2023,125,黒,スクーター/ビッグスクーター,2781,1,-,-,-,上熊本店,0120-37-8190,"['2023年モデル', 'フルノーマル']"
2,2100005608039,278000,SUZUKI GSX-R125！小さくても本格的な1台です!,SUZUKI,DL33B,2018,125,青,スポーツ/ツアラー,16893,3ヶ月,-,-,2023-07-13,姫路店,0120-37-8190,[]
3,2100006019995,498000,YAMAHA ドラッグスター250,YAMAHA,BA-VG02J,2005,250,白,アメリカン/クルーザー,12835,3ヶ月,-,-,2023-09-23,豊橋店,0120-37-8190,['2005年モデル／キャブレター車']
4,2100005920360,498000,KAWASAKI Ninja 400,KAWASAKI,2BL-EX400G,2018,400,橙,スポーツ/ツアラー,11871,3,2018-07,2024-10-10,2023-09-07,名古屋みなと店,0120-37-8190,"['フェンダーレス', 'LCIサイレンサー']"
5,2100005755894,898000,Ducati スクランブラーＳＩＸＴＹ２,Ducati,EBL-KA00,2021,400,ブラック,ネイキッド,3031,7,2021-05,2024-05-30,-,藤沢店,0120-37-8190,"['リアキャリア', 'ＳＨＡＤ製リアＢＯＸ装備']"
6,2100006030174,398000,HONDA ＭＡＧＮＡ５０,HONDA,BA-AC13,2007 ,50,-,アメリカン/クルーザー,13652,3ヶ月,-,-,2023-09-24,草加店,0120-37-8190,['２００７年モデル/フルノーマル']
7,2100006235937,598000,HONDA CRF250L<S>,HONDA,2BK-MD47,2021,250,赤,オフロード/モタード,6014,5,-,-,2023-10-29,金沢店,0120-37-8190,['2口USB／フルノーマル／ワンオーナー／2021年モデル']
8,2100006212259,478000,HONDA ＣＢ４００ＳＳ,HONDA,BC-NC41,2006,400,白/青,ネイキッド,33711,3ヶ月,2006-02,2025-05-27,2023-10-25,世田谷本店,0120-37-8190,"['グリップヒーター', 'リアキャリア', 'スクリーン装備']"
9,2100005316026,440000,HONDA 【新車 並行輸入】CRF190L,HONDA,-,2021,190,トリコロール,オフロード/モタード,0,7,-,-,-,堺美原店,0120-37-8190,['軽量で旋回性能抜群!']
10,2100005857338,798000,SUZUKI ＧＳＸ－Ｓ１０００Ｆ,SUZUKI,EBL-GT79A,2015,1000,赤/黒,スポーツ/ツアラー,16803,1,2015-08,2024-05-11,-,イオンモール鈴鹿店,0120-37-8190,['★ＢＭＳ－Ｒスリップオンマフラー／スライダー／レバーカスタム★']
11,2100005872102,698000,KAWASAKI NINJA400,KAWASAKI,2BL-EX400G,2022,400,緑,スポーツ/ツアラー,733,7,2022-04,2025-04-11,2023-08-30,ラパークいわき店,0120-37-8190,['ワンオーナー／ストライカーマフラー装備／エンジンスライダー']
12,2100005123204,1050000,KAWASAKI Ｗ８００,KAWASAKI,2BL-EJ800B,2020,800,ブラウン,ネイキッド,5903,5,2020-09,-,-,岡崎店,0120-37-8190,"['カフェ', 'ワンオーナー', 'ETC標準装備', 'グリップヒーター標準装備']"
13,2100005100281,118000,SUZUKI レッツバスケット,SUZUKI,2BH-CA4AA,2020,50,ホワイト,スクーター/ビッグスクーター,11613,3ヶ月,-,-,-,荒川沖店,0120-37-8190,"['フルノーマル車', '☆★純正前カゴ付き！お買い物に便利な一台！★☆']"
14,2100003030917,8980000,KAWASAKI Z1000R,KAWASAKI,KZT00R,1982,1000,ライムグリーン,ネイキッド,25550,1ヶ月,1991-05,-,2022-04-22,つくば絶版車館,029-721-8190,['R1']
15,2100006213768,1308000,HONDA ＣＲＦ１０００ＬアフリカツインＤＣＴ,HONDA,EBL-SD04,2019,1000,ブラックメタリック,オフロード/モタード,24908,1,2019-07,2024-07-07,2023-10-25,柏店,0120-37-8190,['☆★アウトバックモーターテック製クラッシュバー・スキッドプレート装備！★☆']
16,2100006106534,418000,SUZUKI グラディウス400 2011年モデル希少なVツインネイキッドモデルスライダー装備,SUZUKI,EBL-VK58A,2011,400,銀,ネイキッド,27203,3ヶ月,2014-10,-,-,伊丹店,0120-37-8190,[]
