,id,価格,車両名,メーカー,型式番号,モデル年,排気量,色,タイプ,走行距離,保証期間,初年度登録年月,次回車検,入荷日,在庫店舗,店舗在庫,備考
21,2100005912556,468000,YAMAHA YZF-R3,YAMAHA,2BL-RH13J,2018,320,黒,スポーツ/ツアラー,15968,3,2019-01,2024-01-25,-,神戸伊川谷店,0120-37-8190,['グリップカスタム！250CC並みの軽さと400CC並みのパワーを兼ね備えてます!']
22,2100006154054,1778000,Harley-Davidson Softail Standard [ FXST1750 ],Harley-Davidson,8BL-STJ,2021,1750,ビビッドブラック,アメリカン/クルーザー,3526,7,2021-02,2024-02-14,-,Beat&C 福岡マリナ店,0120-37-8190,"['ノーマル車', 'キー付きガスキャップ']"
23,2100006072716,428000,KAWASAKI 250TR,KAWASAKI,JBK-BJ250F,2008,250,緑,ネイキッド,7519,3ヶ月,-,-,2023-10-01,熊本店,0120-37-8190,['オン・オフどちらも乗りこなせるストリートトラッカー!']
24,2100005462631,1178000,YAMAHA ＹＺＦ－Ｒ７,YAMAHA,8BL-RM39J,2023,700,青,スポーツ/ツアラー,499,7,2023-04,2026-04-25,-,GLOBO蘇我店,0120-37-8190,"['ワンオーナー', 'フルノーマル']"
25,2100004159457,1998000,Harley-Davidson FLSTFB S1800,Harley-Davidson,JT9,2017,1800,黒,アメリカン/クルーザー,11293,3,2017-10,-,-,Beat&C 京都八幡店,0120-37-8190,['ファットボーイS■前後タイヤ・バッテリー新品■エンジンガード■サイドバック■スクリーミンイーグル製エアクリ']
26,2100004962293,2058000,HONDA GOLDWING F6C [ GL1800 ] (ゴールドウィングF6C)／インジェクションモデル,HONDA,EBL-SC68,不明,1800,ブルー,アメリカン/クルーザー,4806,1,2020-06,-,-,上尾店,0120-37-8190,[]
27,2100005975858,435000,HONDA CB400 SUPER FOUR Version S,HONDA,NC31,1998,400,シャンパンゴールド,ネイキッド,40791,3ヶ月,1998-02,2025-04-24,2023-09-16,那覇店,0120-37-8190,[]
28,2100005851398,728000,HONDA CRF250L,HONDA,2BK-MD47,2021,250,赤,オフロード/モタード,579,7,-,-,2023-08-27,仙台店,0120-37-8190,['ノーマル車両／2021年モデル']
29,2100006120110,948000,SUZUKI 【スピード納車】イントルーダー４００クラシック,SUZUKI,EBL-VK56A,2014,400,ホワイト,アメリカン/クルーザー,5937,1,2015-06,2024-07-01,-,藤沢店,0120-37-8190,"['キャストホイール仕様', '最終モデル', 'エンジンガード', 'バックサポート装備', '整備済み車両']"
30,2100004714120,348000,HONDA PCX,HONDA,2BJ-JK05,2021,125,黒,スクーター/ビッグスクーター,338,3,-,-,-,豊橋店,0120-37-8190,['2021年モデル／フルノーマル']
31,2100005983839,278000,SUZUKI GSX-S125,SUZUKI,2BJ-DL32B,2018,125,マッドブラック,ネイキッド,8934,3ヶ月,-,-,-,高松店,0120-37-8190,['フェンダーレス・USBポート・ABS標準装備']
32,2100005622905,548000,YAMAHA Drag Star 250,YAMAHA,BA-VG02J,2008,250,茶色,アメリカン/クルーザー,減算車,3ヶ月,-,-,-,草加店,0120-37-8190,['2008年モデル／VG02J型／減算歴あり／サドルバッグサポート装備']
33,2100004050945,1148000,HONDA 【11月限定プライス】【マル得】CB400 SUPER FOUR HYPER VTEC Revo/リアキャリア/エンジンガード/カスタムレバー,HONDA,2BL-NC42,2018,400,白/赤,ネイキッド,12094,3,2018-09,-,-,東大阪店,0120-37-8190,[]
34,2100005854481,118000,HONDA タクトベーシック,HONDA,JBH-AF79,2016,50,銀,スクーター/ビッグスクーター,13646,3ヶ月,-,-,-,柏店,0120-37-8190,"['２０１６年モデル', '☆★リアボックス', 'スクリーン装備★☆']"
35,2100006154702,368000,HONDA PCX,HONDA,2BJ-JK05,2021,125,ガンメタ,スクーター/ビッグスクーター,3513,1,-,-,-,小山店,0120-37-8190,"['2021年モデル', 'ロングスクリーン', 'GIVI製リヤボックス装備']"
36,2100005902236,248000,YAMAHA シグナスXSR,YAMAHA,2BJ-SED8J,2019,125,黒,スクーター/ビッグスクーター,8978,3ヶ月,-,-,2023-09-03,寝屋川店,0120-37-8190,['2019年モデル']
37,2100004000155,398000,HONDA シャリイ・50AT,HONDA,CF50,1981,50,レッド,ネイキッド,9808,1ヶ月,-,-,-,つくば絶版車館,029-721-8190,"['CF50', '3速オートマチック']"
38,2100006115093,1280000,KAWASAKI ZRX400,KAWASAKI,BC-ZR400E,2007,400,ライム,ネイキッド,26058,3ヶ月,2008-06,2025-02-07,2023-10-08,岡崎店,0120-37-8190,"['2007年モデル', 'FCRキャブ', 'フェンダーレス']"
