,id,価格,車両名,メーカー,型式番号,モデル年,排気量,色,タイプ,走行距離,保証期間,初年度登録年月,次回車検,入荷日,在庫店舗,店舗在庫,備考
0,2100005393065,1450000,Harley-Davidson ＮＩＧＨＴＳＴＥＲ,Harley-Davidson,8BL-RH1,2022,975,黒,ネイキッド,259,7,2022-06,2025-06-02,2023-06-04,イオンモール鈴鹿店,0120-37-8190,"['ＲＨ９７５', '★２０２２年モデル／フルノーマル／走行距離２５９ｋｍ！★！!']"
1,2100003846082,518000,KAWASAKI Ninja 250 2018年モデル,KAWASAKI,2BK-EX250P,2018,250,青銀,スポーツ/ツアラー,1429,5,-,-,-,上熊本店,0120-37-8190,['リアウインカー新品交換♪！!']
2,2100006254815,548000,Harley-Davidson XG750,Harley-Davidson,EBL-XGB,2014,750,青,アメリカン/クルーザー,18530,1,2015-07,2024-07-01,2023-11-01,仙台店,0120-37-8190,['デタッチャブルキャリア／2014年モデル！!']
3,2100005381581,158000,YAMAHA 【１１月限定プライス】,YAMAHA,2BH-AY02,2018,50,-,スクーター/ビッグスクーター,3624,1,-,-,-,GLOBO蘇我店,0120-37-8190,"['ＶＩＮＯ', '２０１８年モデル', 'アイドリングストップ！!']"
4,2100006243888,478000,HONDA モンキー125,HONDA,2BJ-JB03,2022,125,ガンメタ,ネイキッド,395,3,-,-,2023-10-30,横浜上郷店,0120-37-8190,"['JB03型', '2022年モデル', 'タコメーター装備！!']"
5,2100005219419,378000,HONDA PCX150,HONDA,JBK-KF12,2018,150,赤,スクーター/ビッグスクーター,1054,5,-,-,-,仙台店,0120-37-8190,['ロングスクリーン／モリワキマフラー装備／２０１８年モデル！!']
6,2100005742221,128000,YAMAHA 【11月限定プライス】【マル得】VINO,YAMAHA,JBH-SA54J,2014,50,茶,スクーター/ビッグスクーター,6058,3ヶ月,-,-,2023-08-06,小山店,0120-37-8190,"['2014年モデル', 'ノーマル！!']"
7,2100004101241,1438000,HONDA CB400 SUPER FOUR HYPER VTEC Revo左右レバーカスタム,HONDA,2BL-NC42,2019,400,赤/白,ネイキッド,3235,5,2019-09,2024-01-27,-,上熊本店,0120-37-8190,['2019年モデル！!']
8,2100006038279,298000,SUZUKI ジクサー１５０,SUZUKI,2BK-NG4BG,不明,150,-,ネイキッド,1039,1ヶ月,2022-08,-,-,福生店,0120-37-8190,['軽い車体が売りの150ccヘルメットロック装備車両！!']
9,2100006280531,238000,SUZUKI ＧＮ１２５－２Ｆ,SUZUKI,PCJ2N,2016,125,赤,アメリカン/クルーザー,691,3ヶ月,-,-,2023-11-05,平塚店,0120-37-8190,['キック付き！!']
10,2100006238952,528000,HONDA CBR650F,HONDA,EBL-RC83,2017,650,赤,スポーツ/ツアラー,7281,3,2017-08,2024-08-29,2023-10-29,新潟店,0120-37-8190,['２０１８年モデル/スクリーン（MRA）/エンジンスライダー（Baby Face）/USBソケット1口シガーソケット1口/その他カスタム！!']
11,2100006189223,578000,YAMAHA ＳＲ４００,YAMAHA,EBL-RH03J,2012,400,白,ネイキッド,15744,3ヶ月,2012-09,2024-10-10,2023-10-21,静岡店,0120-37-8190,"['２０１２年モデル', 'ＰＲＵＮＵＳスリップオンマフラー・パフォーマンスダンパー・その他カスタム多数!！!']"
12,2100006185768,1076000,YAMAHA MT-09SP！ﾒｰｶｰﾘｺｰﾙ･ﾒｰﾀｰ交換車！過去距離2198km!！!,YAMAHA,2BL-RN52J,2018,900,青/銀,ネイキッド,215,5,2020-03,2025-03-02,2023-10-21,姫路店,0120-37-8190,[]
13,2100005699235,135000,HONDA リトルカブ,HONDA,A-C50,1997,50,茶,ネイキッド,18997,3ヶ月,-,-,-,インターパーク宇都宮店,0120-37-8190,"['Ｃ50', 'キャブ！!']"
14,2100005549363,638000,HONDA CBR250RR,HONDA,2BK-MC51,2017,250,黒,スポーツ/ツアラー,343,3,-,-,-,新潟店,0120-37-8190,['2017年モデル/フルノーマル！!']
15,2100004702516,528000,HONDA モトコンポ,HONDA,AB12,1982,50,レッド,スクーター/ビッグスクーター,0,1ヶ月,-,-,-,茅ヶ崎絶版車館,046-755-5552,"['ＡＢ１２型１９８２年モデル', '取扱説明書付き！!']"
16,2100004444942,1398000,HONDA CB400スーパーフォア【USBソケット2口装着】！!,HONDA,2BL-NC42,2019,400,黒,ネイキッド,2277,5,2022-08,2025-08-16,-,名古屋みなと店,0120-37-8190,[]
17,2100006001341,498000,SUZUKI V-ストローム250 純正オプションフルパニア仕様・エンジンガード装備！!,SUZUKI,2BK-DS11A,2017,250,ダイヤモンドレッドメタリック,オフロード/モタード,18890,3,-,-,-,盛岡店,0120-37-8190,[]
18,2100003355713,328000,HONDA ☆11月限定プライス☆,HONDA,2BJ-JA45,2020,110,白,ネイキッド,6338,3ヶ月,-,-,-,前橋インター店,0120-37-8190,"['クロスカブ110', 'お洒落なホワイトカラー♪！!']"
19,2100004000353,2198000,Harley-Davidson ＦＸＳＢ１５８０,Harley-Davidson,BF5,2013,1580,ミステリアスレッドサングロ,アメリカン/クルーザー,2543,1,2013-06,2024-08-04,-,Beat&C 福岡マリナ店,0120-37-8190,"['ブレイクアウト', '■S&S製エアクリーナー■ステップ■ハンドル■フロントバンパー！!']"
20,2100005083935,248000,HONDA Dio 110,HONDA,2BJ-JK03,2023,110,マットブラック,スクーター/ビッグスクーター,97,3,-,-,-,広島店,0120-37-8190,"['2023年モデル', 'ノーマル低走行車両', '二人乗りも楽しめます!！!']"
21,2100005731140,547800,SUZUKI 【並行輸入,SUZUKI,2BK-DS11A,2022,250,オレンジ,オフロード/モタード,48,7,-,-,-,名古屋守山店,0120-37-8190,['未登録車】V-ストローム250SX！!']
