,id,価格,車両名,メーカー,型式番号,モデル年,排気量,色,タイプ,走行距離,保証期間,初年度登録年月,次回車検,入荷日,在庫店舗,店舗在庫,備考
0,2100006152418,918000,Triumph トライデント６６０,Triumph,2BL-LUJ660,2022,660,-,ネイキッド,690,7,2021-10,2024-10-17,2023-10-15,GLOBO蘇我店,0120-37-8190,"['シフトアシスト', 'バーエンドミラー！!']"
1,2100005434706,518000,SUZUKI Vストローム250,SUZUKI,2BK-DS11A,2021,250,黒,オフロード/モタード,5014,5,-,-,2023-06-11,市川店,0120-37-8190,"['グリップヒーター装備', 'ワンオーナー', '2021年モデル【マル得】！!']"
2,2100006088144,198000,HONDA Little Cub ,HONDA,JBH-AA01,2008,50,白/青,ネイキッド,17262,3ヶ月,-,-,2023-10-04,仙台店,0120-37-8190,['フロントバスケット／トップケース装備／２００８年モデル！!']
3,2100005733366,318000,HONDA PCX150 ABS,HONDA,2BK-KF30,2018,150,グレー,スクーター/ビッグスクーター,1284,5,-,-,-,仙台店,0120-37-8190,['ノーマル車両／2018年モデル！!']
4,2100006130652,348000,HONDA CB125R,HONDA,2BJ-JC79,2018,125,黒,ネイキッド,14666,3ヶ月,-,-,-,京都松井山手店,0120-37-8190,"['2018年式モデル', 'WirusWin製マフラー・社外レバー装備!！!']"
5,2100005893312,428000,YAMAHA ＹＺＦ－Ｒ２５,YAMAHA,JBK-RG10J,2017,250,白,スポーツ/ツアラー,4537,3,-,-,-,横浜上郷店,0120-37-8190,"['2017年モデル', 'SP忠雄マフラー、USB2ポート装備！!']"
6,2100005984317,198000,YAMAHA シグナスXSR,YAMAHA,EBJ-SE44J,2013,125,黒,スクーター/ビッグスクーター,19875,3ヶ月,-,-,-,豊橋店,0120-37-8190,['2013年モデル／フルノーマル！!']
7,2100006289435,218000,SUZUKI アドレス110,SUZUKI,EBJ-CE47A,2016,110,シルバー,スクーター/ビッグスクーター,2909,3ヶ月,-,-,2023-11-06,横浜上郷店,0120-37-8190,"['CE47A型2016年モデル', '！!']"
8,2100004285323,358000,HONDA PCX160,HONDA,2BK-KF47,2021,160,黒,スクーター/ビッグスクーター,6121,5,-,-,2023-11-05,豊橋店,0120-37-8190,"['2021年モデル', 'フルノーマル！!']"
9,2100004300064,1248000,HONDA CB400スーパーフォア,HONDA,2BL-NC42,2019,400,黒,ネイキッド,12479,3,2019-07,2024-07-08,-,京都松井山手店,0120-37-8190,"['2019年式モデル', 'レバー・ミラーカスタム', 'USB2ポート装備!！!']"
10,2100006216509,698000,HONDA CBR400R,HONDA,2BL-NC56,2021,400,黒/赤,スポーツ/ツアラー,1554,7,2021-05,-,-,寝屋川店,0120-37-8190,['2021年モデル！!']
11,2100005706414,348000,HONDA 【スピード納車】CT125,HONDA,2BJ-JA55,2020,125,赤,ネイキッド,13614,3ヶ月,-,-,-,寝屋川店,0120-37-8190,['2020年モデル！!']
12,2100005622561,398000,HONDA CB250R【USB電源2口,HONDA,2BK-MC52,2018,250,黒,ネイキッド,6433,5,-,-,-,小倉店,0120-37-8190,['ヘルメットホルダー】！!']
13,2100005643634,708000,SUZUKI SV650X,SUZUKI,2BL-VP55B,2020,650,黒,ネイキッド,2287,5,2020-12,-,2023-07-19,大阪東住吉店,0120-37-8190,['2020年式！!']
