,id,価格,車両名,メーカー,型式番号,モデル年,排気量,色,タイプ,走行距離,保証期間,初年度登録年月,次回車検,入荷日,在庫店舗,店舗在庫,備考
0,2100004585812,698000,KAWASAKI 【マル得車両】エストレヤ【2017年モデル／フルノーマル】,KAWASAKI,BJ250A,2017,250,オレンジ,ネイキッド,1411,3,-,-,-,小倉店,0120-37-8190,[]
1,2100005245463,928000,HONDA ＣＢ６５０Ｒ,HONDA,2BL-RH03,2019,650,ブラック,ネイキッド,2372,5,2019-11,2024-11-17,-,荒川沖店,0120-37-8190,"['ワンオーナー車', '☆★フルノーマルの美車！★☆', '【マル得車輌】']"
2,2100005984454,1368000,YAMAHA ＭＴ-１０ ＡＢＳ,YAMAHA,2BL-RN50J,2017,1000,グレー,ネイキッド,9729,3,2018-11,2024-02-29,-,八王子堀之内店,0120-37-8190,"['エンジン＆アクスルスライダー装備！', 'フェンダーレスキット＆カスタムレバー！', 'クルーズコントロール＆クイックシフター標準装備!']"
3,2100006196146,598000,HONDA レブル250,HONDA,2BK-MC49,2020,250,ベージュ,アメリカン/クルーザー,4032,5,-,-,2023-10-22,前橋インター店,0120-37-8190,"['2020年モデル', 'サイドバッグ', 'USB充電ポート装備']"
4,2100006168655,590000,HONDA 【マル得】GB350S,HONDA,2BL-NC59,2021,350,グレー,ネイキッド,886,7,2022-01,2025-01-25,2023-10-18,インターパーク宇都宮店,0120-37-8190,['2021年モデル']
5,2100004708495,2500000,Harley-Davidson ＦＸＢＲＳ１８７０ソフテイルブレイクアウト■限定カラー■シリアルナンバー付き【６／１９００】,Harley-Davidson,２BL-STK,2018,1870,マットブルー,アメリカン/クルーザー,12047,3,2017-12,2024-12-24,-,Beat&C 世田谷店,03-6432-3480,[]
6,2100006168761,128000,YAMAHA JOG（ジョグ）AY01型／インジェクションモデル／ノーマル車両,YAMAHA,2BH-AY01,2016,50,ブラック,スクーター/ビッグスクーター,2976,3ヶ月,-,-,2023-10-18,上尾店,0120-37-8190,[]
7,2100006265217,1398000,Harley-Davidson Dyna Street Bob★FXDB1580★,Harley-Davidson,GX4,2014,1580,黒,アメリカン/クルーザー,19630,3ヶ月,2014-09,2024-08-23,2023-11-03,仙台店,0120-37-8190,['アップハンドル／RSDパーツ多数']
8,2100006193572,378000,HONDA 【マル得車両】クロスカブ110【走行僅か6㎞】,HONDA,2BJ-JA45,2021,110,緑,ネイキッド,6,3,-,-,-,小倉店,0120-37-8190,[]
9,2100006158298,598000,YAMAHA XMAX ABS,YAMAHA,2BK-SG42J,2018,250,ガンＭ,スクーター/ビッグスクーター,3587,5,-,-,2023-10-16,横浜上郷店,0120-37-8190,"['SG42J型', '2018年モデル']"
10,2100006264982,698000,KAWASAKI ＮＩＮＪＡ１０００,KAWASAKI,ZXT00H,2013,1000,ホワイト,スポーツ/ツアラー,17017,1,2012-10,-,2023-11-03,八王子堀之内店,0120-37-8190,"['ＡＢＳ', '東南アジア仕様', 'ベビーフェイス製エンジンスライダー！', 'トップギア製シフトインジケーター＆フューエルメーター!']"
11,2100005283106,678790,HONDA 【スピード納車】REBEL 250 S Edition Newカラー LEDライト ABS,HONDA,2BK-MC49,2023,250,茶,アメリカン/クルーザー,211,7,-,-,2023-05-17,那覇店,0120-37-8190,[]
12,2100004341166,1698000,HONDA 【スピード納車】ＣＢ４００スーパーフォアＨＹＰＥＲ,HONDA,2BL-NC42,2019,400,ブラック,ネイキッド,1,5,2022-11,2025-11-28,-,ラパークいわき店,0120-37-8190,"['ＶＴＥＣ', 'ＲＥＶＯ', 'ワンオーナー／フルノーマル']"
13,2100006289701,1380000,Harley-Davidson ＦＬＳＴＦ１５８０,Harley-Davidson,BX5,2011,1580,黒,アメリカン/クルーザー,23163,3ヶ月,2011-09,2024-05-18,2023-11-06,世田谷本店,0120-37-8190,"['ＦａｔＢｏｙ', '本革サイドバッグ', 'スクリーン', 'バックレストキャリア装備！']"
14,2100005744652,198000,YAMAHA JOG ZR,YAMAHA,2BH-SA58J,2018,50,ディープパープリッシュブルーメタリックC,スクーター/ビッグスクーター,1256,3ヶ月,-,-,-,つくば絶版車館,029-721-8190,"['3P3Y', '1500台限定Movistar Yamaha MotoGP Edition']"
15,2100006062359,218000,YAMAHA マジェスティS ,YAMAHA,JBK-SG28J,2016,155,マットチタン,スクーター/ビッグスクーター,17193,3,-,-,2023-09-30,久留米店,0120-37-8190,['取り回しもよく高速道路も走行可能で利便性GOOD!']
16,2100004381827,1880000,KAWASAKI ZEPHYRχ,KAWASAKI,ZR400C,2008,400,ブラウン/オレンジ,ネイキッド,21139,3ヶ月,2011-04,2024-06-26,-,つくば絶版車館,029-721-8190,"['G8F', 'モリワキ集合', '火の玉オールペイント']"
17,2100005849036,228000,HONDA 【スピード納車】スーパーカブ１１０,HONDA,2BJ-JA44,2018,110,アーベインデニムブルーＭ,ネイキッド,7979,3ヶ月,-,-,2023-08-26,横浜上郷店,0120-37-8190,['ＪＡ４４型２０１８年モデル']
18,2100005368100,648000,HONDA REBEL 250 S Edition,HONDA,2BK-MC49,2021,250,黒,アメリカン/クルーザー,1483,7,-,-,-,仙台店,0120-37-8190,['2021年モデル／ノーマル車両／LEDヘッドライト標準']
