,id,cost,model_number,model_year,color,mileage,guarantee_period,store_id
96,2100006144703,568000,EBL-RC58,2010.0,白,32825.0,3,7
97,2100006087956,998000,EBL-R12NB,2016.0,白,12852.0,3,44
99,2100006230970,458000,2BK-MC49,2017.0,黒,8006.0,3,11
102,2100005988445,378000,2BJ-JK05,2021.0,白,5560.0,3,2
103,2100005519595,308000,JBK-EX250K,2010.0,青,7521.0,3,11
105,2100005983297,1328000,2BL-SC54,2019.0,赤,25460.0,1,46
106,2100005880794,440000,8BJ-JB04,2023.0,赤,0.0,3,54
107,2100006256994,198000,2BJ-DT11A,2020.0,黒,9483.0,3,27
108,2100005856690,148000,JBH-AF79,2016.0,銀,885.0,3,49
111,2100005993173,89800,JBH-AF67,2012.0,黒,11165.0,3,3
112,2100006257106,248000,2BJ-JA44,2020.0,青,7076.0,3,30
114,2100005513890,1248000,GN4,2012.0,黒,2921.0,3,77
115,2100006113648,468000,2BK-KF38,2020.0,黒,16873.0,3,29
116,2100005706735,758000,JBK-DG15J,2007.0,白,15318.0,3,30
117,2100006010015,2380000,LC3,2020.0,黒,612.0,5,71
118,2100006215779,378000,2BK-SG37J,2020.0,銀,578.0,5,54
119,2100005948555,315000,EBJ-SE44J,2018.0,黒,10166.0,3,59
120,2100005726405,1298000,ZR400C,2008.0,青,26471.0,3,70
121,2100006031881,848000,EBL-GT79A,2016.0,黒,14708.0,3,74
122,2100005798211,698000,ZR250B,2004.0,青,13525.0,3,17
123,2100005692182,286000,EBJ-JA07,2019.0,赤,7237.0,3,63
124,2100006213546,1388000,YDJ,2020.0,赤,17124.0,3,72
125,2100003912138,788000,2BL-NC59,2021.0,銀,1097.0,7,59
126,2100006155907,158000,JBH-AF79,2021.0,白,123.0,3,12
127,2100005740142,498000,2BK-MC49,2020.0,青,6246.0,5,39
128,2100006042573,1378000,EBL-883RN,2014.0,黒,6276.0,1,77
129,2100005940535,388000,2BJ-JK05,2021.0,白,4115.0,1,67
130,2100006266184,158000,EBJ-SE53J,2009.0,銀,2296.0,3,66
131,2100005845380,1498000,2BL-ZR900C,2018.0,黒,3701.0,5,68
132,2100005485319,578000,2BK-MC49,2020.0,茶,1080.0,5,13
