,id,cost,model_number,model_year,color,mileage,guarantee_period,store_id
72,2100006253658,358000,A-Z50J,1995.0,黒,3445.0,0.25,7
73,2100006010053,998000,BC-SC54,2007.0,銀,35009.0,0.25,44
74,2100005852647,1448000,2BL-SC54,2018.0,赤,16527.0,3.0,52
75,2100006176032,998000,2BL-RM22J,2022.0,,912.0,7.0,10
76,2100005765091,198000,EBJ-SEA5J,2016.0,黒,10525.0,0.25,73
77,2100006105568,378000,8BJ-SEJ4J,2022.0,黒,462.0,3.0,21
78,2100006038088,1098000,8BL-RH1,2022.0,銀,1571.0,7.0,11
79,2100005188487,108000,2BH-AY01,2018.0,赤,3307.0,1.0,48
80,2100006299991,216000,2BJ-SED7J,2019.0,青,1219.0,1.0,59
81,2100005686129,328000,2BJ-BR125H,2015.0,緑,1665.0,0.25,7
82,2100006144413,648000,EBL-RM07J,2017.0,青,2151.0,3.0,15
83,2100005777513,348000,2BK-SG50J,2017.0,赤,3808.0,3.0,11
84,2100005999908,1518000,8BL-RH10,2022.0,,8059.0,5.0,14
85,2100005805285,620000,JBK-VG05J,2011.0,白,14698.0,0.25,44
86,2100005520492,698000,2BL-RM22J,2018.0,銀,26729.0,1.0,11
87,2100003029881,698000,NC33,1995.0,青,2597.0,0.08333333333333333,6
88,2100005648851,98000,JBH-AF75,2015.0,黒,3319.0,0.25,4
89,2100006016574,1528000,8BL-RH4,2021.0,黒,1213.0,7.0,67
90,2100002745478,158000,JBH-SA56J,2015.0,黒,5237.0,0.25,6
91,2100005608435,1878000,YJJE,2019.0,青,9272.0,5.0,39
92,2100005773256,898000,JBK-DG15J,2014.0,白,9767.0,1.0,40
93,2100005673143,648000,2BK-MC49,2020.0,銀,1999.0,5.0,75
94,2100005544696,1986000,8BL-EJ11A,2021.0,黒,11522.0,3.0,67
95,2100006064711,238000,2BJ-JF81,2018.0,白,20860.0,0.25,27
96,2100006144703,568000,EBL-RC58,2010.0,白,32825.0,0.25,7
97,2100006087956,998000,EBL-R12NB,2016.0,白,12852.0,3.0,44
98,2100005853279,1180000,2BL-NC42,2019.0,白,8813.0,5.0,62
99,2100006230970,458000,2BK-MC49,2017.0,黒,8006.0,3.0,11
100,2100004009950,398000,2BJ-JA45,2021.0,青,739.0,3.0,47
101,2100005832380,326000,LX250L,2003.0,緑,26631.0,0.25,63
102,2100005988445,378000,2BJ-JK05,2021.0,白,5560.0,0.25,2
103,2100005519595,308000,JBK-EX250K,2010.0,青,7521.0,0.25,11
104,2100004404007,880000,BC-EJ400A,2007.0,赤,17038.0,0.25,6
105,2100005983297,1328000,2BL-SC54,2019.0,赤,25460.0,1.0,46
106,2100005880794,440000,8BJ-JB04,2023.0,赤,0.0,3.0,54
107,2100006256994,198000,2BJ-DT11A,2020.0,黒,9483.0,0.25,27
108,2100005856690,148000,JBH-AF79,2016.0,銀,885.0,0.25,49
109,2100005972925,658000,2BK-MC49,2023.0,,564.0,7.0,14
110,2100005478038,1550000,PG4,2007.0,青,21803.0,0.25,44
111,2100005993173,89800,JBH-AF67,2012.0,黒,11165.0,0.25,3
112,2100006257106,248000,2BJ-JA44,2020.0,青,7076.0,0.25,30
