,model_number,brand,name,type,displacement
533,GV4,Harley-Davidson, Dyna Super Glide Custom  FXDC1580 ,アメリカン/クルーザー,1584.0
534,GW71A,SUZUKI, ﾊﾔﾌﾞｻ,スポーツ/ツアラー,1300.0
535,GX1,Harley-Davidson, FXDB1450,アメリカン/クルーザー,1450.0
536,GX4,Harley-Davidson, FXDB1580,アメリカン/クルーザー,1580.0
537,GX72A,SUZUKI, HAYABUSA 1300,スポーツ/ツアラー,1300.0
538,GX72B,SUZUKI,  ﾊﾔﾌﾞｻﾖｼﾑﾗ,スポーツ/ツアラー,1300.0
539,GY4,Harley-Davidson, Dyna Fat Bob  FXDF1580 ,アメリカン/クルーザー,1584.0
540,GY71A,SUZUKI, GSX1400,ネイキッド,1400.0
541,GZ4,Harley-Davidson, FLD1580ﾀﾞｲﾅｽｲｯﾁﾊﾞｯｸ,アメリカン/クルーザー,1580.0
542,HA01,Ducati, 959ﾊﾟﾆｶﾞｰﾚ,スポーツ/ツアラー,959.0
543,HA02,HONDA, Super Cub 90 DX,ネイキッド,90.0
544,HD11,HONDA, CRM80,オフロード/モタード,80.0
545,HD12,HONDA, CRM80,オフロード/モタード,80.0
546,HHH,Harley-Davidson, Night Rod Special  VRSCDX1250 ﾅｲﾄﾛｯﾄﾞ,アメリカン/クルーザー,1250.0
547,JA55,HONDA, CT125ﾊﾝﾀｰｶﾌﾞ,ネイキッド,125.0
548,JA60,HONDA, ｸﾛｽｶﾌﾞ110,ネイキッド,110.0
549,JB5,Harley-Davidson, FXSTD1580ｿﾌﾃｲﾙﾃﾞﾕｰｽ ,アメリカン/クルーザー,1580.0
550,JBH-AA01,HONDA, ﾘﾄﾙｶﾌﾞ,ネイキッド,50.0
551,JBH-AA04,HONDA, Super Cub 50,ネイキッド,50.0
552,JBH-AB27,HONDA, ﾓﾝｷｰ,ネイキッド,50.0
553,JBH-AC16,HONDA, APE50,ネイキッド,50.0
554,JBH-AF58,HONDA, ｽﾞｰﾏｰ,スクーター/ビッグスクーター,50.0
555,JBH-AF67,HONDA, ﾄｩﾃﾞｲ,スクーター/ビッグスクーター,50.0
556,JBH-AF68,HONDA, DIO,スクーター/ビッグスクーター,50.0
557,JBH-AF70,HONDA, ｼﾞｮﾙﾉ,スクーター/ビッグスクーター,50.0
558,JBH-AF74,HONDA, ﾀﾞﾝｸ,スクーター/ビッグスクーター,50.0
559,JBH-AF75,HONDA, ﾀｸﾄ,スクーター/ビッグスクーター,50.0
560,JBH-AF77,HONDA, ｼﾞｮﾙﾉ,スクーター/ビッグスクーター,50.0
561,JBH-AF78,HONDA, ﾀﾞﾝｸ,スクーター/ビッグスクーター,50.0
562,JBH-AF79,HONDA, ﾀｸﾄﾍﾞｰｼｯｸ,スクーター/ビッグスクーター,50.0
563,JBH-CA43A,SUZUKI, ﾚｯﾂ4ﾊﾞｽｹｯﾄ,スクーター/ビッグスクーター,50.0
564,JBH-CA44A,SUZUKI, ｱﾄﾞﾚｽV50,スクーター/ビッグスクーター,50.0
565,JBH-CA45A,SUZUKI, LET'S4ﾚｯﾂ4,スクーター/ビッグスクーター,50.0
566,JBH-CA4AA,SUZUKI, ﾚｯﾂ,スクーター/ビッグスクーター,50.0
567,JBH-CA4BA,SUZUKI, ｱﾄﾞﾚｽV50,スクーター/ビッグスクーター,50.0
568,JBH-SA31J,YAMAHA, VOX,スクーター/ビッグスクーター,50.0
569,JBH-SA36J,YAMAHA, JOG,スクーター/ビッグスクーター,50.0
570,JBH-SA37J,YAMAHA, VINO,スクーター/ビッグスクーター,50.0
571,JBH-SA39J,YAMAHA, JOG ZR,スクーター/ビッグスクーター,50.0
572,JBH-SA44J,YAMAHA, BW'Sﾃﾞｻﾞｲﾝ,スクーター/ビッグスクーター,50.0
573,JBH-SA52J,YAMAHA, VOX,スクーター/ビッグスクーター,50.0
574,JBH-SA54J,YAMAHA, VINO,スクーター/ビッグスクーター,50.0
575,JBH-SA55J,YAMAHA, JOG,スクーター/ビッグスクーター,50.0
576,JBH-SA56J,YAMAHA, JOG,スクーター/ビッグスクーター,50.0
577,JBH-TA03,HONDA, ｼﾞｬｲﾛｷｬﾉﾋﾟｰ,スクーター/ビッグスクーター,50.0
578,JBH-TD02,HONDA, ｼﾞｬｲﾛX,スクーター/ビッグスクーター,50.0
579,JBK-BJ250A,KAWASAKI, ｴｽﾄﾚﾔ,ネイキッド,250.0
580,JBK-BJ250F,KAWASAKI, 250TR,ネイキッド,250.0
581,JBK-BX250A,KAWASAKI, NINJA250SL,スポーツ/ツアラー,250.0
582,JBK-CH41A,SUZUKI, ﾊﾞｰｸﾞﾏﾝ200,スクーター/ビッグスクーター,200.0
583,JBK-CJ45A,SUZUKI, SKYWAVE 250 TypeM,スクーター/ビッグスクーター,250.0
584,JBK-CJ47A,SUZUKI, ｼﾞｪﾝﾏ,スクーター/ビッグスクーター,250.0
585,JBK-DG15J,YAMAHA, WR250R,オフロード/モタード,250.0
586,JBK-DG16J,YAMAHA, ﾄﾘｯｶｰ,オフロード/モタード,250.0
587,JBK-DG17J,YAMAHA, ｾﾛｰ250,オフロード/モタード,250.0
588,JBK-ER250C,KAWASAKI, Z250,ネイキッド,250.0
589,JBK-EX250K,KAWASAKI, NINJA250R,スポーツ/ツアラー,250.0
590,JBK-EX250L,KAWASAKI, NINJA250,スポーツ/ツアラー,250.0
591,JBK-GJ55D,SUZUKI, GSR250F,スポーツ/ツアラー,250.0
592,JBK-KF12,HONDA, PCX150,スクーター/ビッグスクーター,150.0
593,JBK-KF18,HONDA, PCX150,スクーター/ビッグスクーター,150.0
594,JBK-LX250S,KAWASAKI, KLX250,オフロード/モタード,250.0
595,JBK-LX250V,KAWASAKI, DﾄﾗｯｶｰX,オフロード/モタード,250.0
596,JBK-MC33,HONDA, VTR250,ネイキッド,250.0
597,JBK-MC40,HONDA, CB223S,ネイキッド,223.0
598,JBK-MC41,HONDA, CBR250R,スポーツ/ツアラー,250.0
599,JBK-MC43,HONDA, CB250F,ネイキッド,250.0
600,JBK-MD36,HONDA, X R 230ﾓﾀｰﾄﾞ,オフロード/モタード,230.0
601,JBK-MD38,HONDA, CRF250L,オフロード/モタード,250.0
602,JBK-MF10,HONDA, ﾌｫﾙﾂｧZ,スクーター/ビッグスクーター,250.0
603,JBK-MF11,HONDA, ﾌｪｲｽﾞ,スクーター/ビッグスクーター,250.0
604,JBK-MF12,HONDA, ﾌｫﾙﾂｧSi,スクーター/ビッグスクーター,250.0
605,JBK-NH42A,SUZUKI, VanVanﾊﾞﾝﾊﾞﾝ200,ネイキッド,200.0
606,JBK-NJ4CA,SUZUKI, ST250,ネイキッド,250.0
607,JBK-NJ4DA,SUZUKI, Grass Tracker BIGBOY,ネイキッド,250.0
608,JBK-RG10J,YAMAHA, YZFR25,スポーツ/ツアラー,250.0
609,JBK-SG20J,YAMAHA, ﾏｼﾞｪｽﾃｨ2504,スクーター/ビッグスクーター,250.0
610,JBK-SG28J,YAMAHA, ﾏｼﾞｪｽﾃｨS,スクーター/ビッグスクーター,155.0
611,JBK-VG05J,YAMAHA, ﾄﾞﾗｯｸﾞｽﾀｰ250,アメリカン/クルーザー,250.0
612,JBK-VK57A,SUZUKI, BOULEVARD 400 Limited ,アメリカン/クルーザー,400.0
613,JC618,HONDA, MSX125,ネイキッド,125.0
614,JC928,HONDA, MSX125 GROMｸﾞﾛﾑ,ネイキッド,125.0
615,JD01,HONDA, CT110,ネイキッド,110.0
616,JD5,Harley-Davidson, FLSTN1580,アメリカン/クルーザー,1580.0
617,JF65,HONDA, NAVI110,ネイキッド,110.0
618,JGA,KTM, 125DUKE,ネイキッド,125.0
619,JGE40,KTM, 250ADVENTURE,オフロード/モタード,250.0
620,JGJ4,KTM, 390ｱﾄﾞﾍﾞﾝﾁｬｰ,スクーター/ビッグスクーター,390.0
621,JK5,Harley-Davidson, FXCWC1580ｿﾌﾃｲﾙﾛｯｶｰC,アメリカン/クルーザー,1580.0
622,JL5,Harley-Davidson, FXSTC1580,アメリカン/クルーザー,1580.0
623,JM5,Harley-Davidson, FLSTSB1580ｸﾛｽﾎﾞｰﾝｽﾞ,アメリカン/クルーザー,1580.0
624,JN5,Harley-Davidson, FLSTFB1580,アメリカン/クルーザー,1580.0
625,JP5,Harley-Davidson, FXS1580 ,アメリカン/クルーザー,1580.0
626,JR5,Harley-Davidson, FLS,アメリカン/クルーザー,1580.0
627,JRV,Harley-Davidson, FLS1690ｿﾌﾃｲﾙｽﾘﾑ,アメリカン/クルーザー,1690.0
628,JS9,Harley-Davidson, FLSS1800,アメリカン/クルーザー,1800.0
629,JT9,Harley-Davidson, FLSTFB S1800,アメリカン/クルーザー,1800.0
630,JUA,Husqvarna, SVARTPILEN 125 ,アメリカン/クルーザー,125.0
631,JUC4,KTM, 200ﾃﾞｭｰｸ,ネイキッド,200.0
632,JUE4,Husqvarna, SVARTPILEN 250,ネイキッド,250.0
633,JUJ42,Husqvarna, SVARTPILEN 401,ネイキッド,390.0
634,JYA,KTM, RC125,スポーツ/ツアラー,125.0
635,KAF,KAWASAKI, 500SS,ネイキッド,500.0
636,KB4,Harley-Davidson, FLHX1580,アメリカン/クルーザー,1580.0
637,KBM,Harley-Davidson, FLHX1690,アメリカン/クルーザー,1690.0
638,KF51,HONDA,  ADV150,スクーター/ビッグスクーター,150.0
639,KH4,Harley-Davidson, FLTRX1580ﾛｰﾄﾞｸﾞﾗｲﾄﾞ,アメリカン/クルーザー,1580.0
640,KL110E,KAWASAKI, KSR PRO,オフロード/モタード,110.0
641,KL250G,KAWASAKI, ｽｰﾊﾟｰｼｪﾙﾊﾟ,オフロード/モタード,250.0
642,KRP,Harley-Davidson, FLHXS1870,アメリカン/クルーザー,1870.0
643,KTM,Harley-Davidson, 11FLTRXS1690 ,アメリカン/クルーザー,1690.0
644,KV075A,KAWASAKI, KV75,ネイキッド,75.0
645,KVC,Harley-Davidson, FLHRXSﾛｰﾄﾞｷﾝｸﾞｽﾍﾟｼｬﾙ,アメリカン/クルーザー,1750.0
646,KVP,Harley-Davidson, FLHRXS1870ﾛｰﾄﾞｷﾝｸﾞｽﾍﾟｼｬﾙ,アメリカン/クルーザー,1870.0
647,KXJ,Aprilia, RX125,オフロード/モタード,125.0
648,KZ550B,KAWASAKI, Z550FX B3  E4ｶﾗｰ,ネイキッド,550.0
649,KZ650B,KAWASAKI, KZ650,ネイキッド,650.0
650,KZ750D,KAWASAKI, Z750FX,ネイキッド,750.0
651,KZT00A,KAWASAKI, KZ1000,ネイキッド,1000.0
652,KZT00B,KAWASAKI, Z1000LTD,ネイキッド,1000.0
653,KZT00D,KAWASAKI, Z1R,ネイキッド,1000.0
654,KZT00J,KAWASAKI, Z1000J,ネイキッド,1000.0
655,KZT00R,KAWASAKI, Z1000R,ネイキッド,1000.0
656,LA41A,SUZUKI, GAG,スポーツ/ツアラー,50.0
657,LA6,Harley-Davidson, XR1200,アメリカン/クルーザー,1200.0
658,LC3,Harley-Davidson, XL1200X,アメリカン/クルーザー,1200.0
659,LE2,Harley-Davidson, XL883N,アメリカン/クルーザー,883.0
660,LE400A,KAWASAKI, KLE400,オフロード/モタード,400.0
661,LE650A,KAWASAKI, ﾍﾞﾙｼｽ650,ネイキッド,650.0
662,LE650C,KAWASAKI, Versys650,ネイキッド,650.0
663,LF3,Harley-Davidson, XL1200V,アメリカン/クルーザー,1200.0
664,LHA00,Moto Guzzi, V9ﾎﾞﾊﾞｰ,ネイキッド,850.0
665,LKB009,Lambretta, V50ｽﾍﾟｼｬﾙ,スクーター/ビッグスクーター,50.0
666,LWJ,Moto Guzzi, V7ｸﾗｼｯｸ,ネイキッド,750.0
667,LX,Triumph, Street Triple 85,ネイキッド,675.0
668,LX250E,KAWASAKI, Dﾄﾗｯｶｰ,オフロード/モタード,250.0
669,LX250L,SUZUKI, 250SBｶﾜｻｷ DﾄﾗｯｶｰOEM,オフロード/モタード,250.0
670,M2A,Peugeot, ｽﾋﾟｰﾄﾞDjango125,スクーター/ビッグスクーター,125.0
671,M3A,Peugeot, Django 150,スクーター/ビッグスクーター,150.0
672,MA01J,Ducati, ﾓﾝｽﾀｰ1200R,ネイキッド,1200.0
673,MC10,HONDA, GB250ｸﾗﾌﾞﾏﾝ,ネイキッド,250.0
674,MC13,HONDA, REBEL,アメリカン/クルーザー,250.0
675,MC22,HONDA, CBR250RR,スポーツ/ツアラー,250.0
676,MC23,HONDA,  JADE,ネイキッド,250.0
677,MC28,HONDA, NSR250R SE,スポーツ/ツアラー,250.0
678,MC29,HONDA, VTWIN MAGNA,アメリカン/クルーザー,250.0
679,MC31,HONDA, HORNET,ネイキッド,250.0
680,MC33,HONDA, VTR,ネイキッド,250.0
681,MC51,HONDA, CBR250RR,スポーツ/ツアラー,250.0
682,MC56,HONDA, CB200X,ネイキッド,200.0
683,MCC,Harley-Davidson, FLRT1750 ,アメリカン/クルーザー,1750.0
684,MD06,HONDA, XL200R,オフロード/モタード,200.0
685,MD30,HONDA, XR250,オフロード/モタード,250.0
686,ME06,HONDA, XR250R,オフロード/モタード,250.0
687,MX080B,KAWASAKI, KSRⅡ,オフロード/モタード,80.0
688,NC07,HONDA, CBX400F,ネイキッド,400.0
689,NC09,HONDA, FT400,ネイキッド,400.0
690,NC30,HONDA, VFR400R,スポーツ/ツアラー,400.0
691,NC31,HONDA, CB400 SUPER FOUR Version S,ネイキッド,400.0
692,NC33,HONDA, VRX Roadster,ネイキッド,400.0
693,NC34,HONDA, ｼｬﾄﾞｳ400,アメリカン/クルーザー,400.0
694,NC35,HONDA, RVF400,スポーツ/ツアラー,400.0
695,NC36,HONDA, CB400FOUR,ネイキッド,400.0
696,NC586,HONDA, ﾊｲﾈｽCB350,ネイキッド,350.0
697,NCG,Harley-Davidson, XG750A,アメリカン/クルーザー,750.0
698,NJ47A,SUZUKI, ﾎﾞﾙﾃｨｰ,ネイキッド,250.0
699,NK43A,SUZUKI, ST400V,ネイキッド,400.0
700,PC16,HONDA, GB500TT ﾂｰﾘｽﾄﾄﾛﾌｨｰ ﾀﾞｲｼﾝ,ネイキッド,500.0
701,PC21,HONDA, ｽﾃｨｰﾄﾞ600,アメリカン/クルーザー,600.0
702,PCJ,HONDA, CBF125R,スポーツ/ツアラー,125.0
703,PCJ2N,SUZUKI, GN1252F,アメリカン/クルーザー,125.0
704,PCJG9,SUZUKI, GN125H,アメリカン/クルーザー,125.0
705,PCL2,HONDA, CB190X,スポーツ/ツアラー,190.0
706,PG4,Harley-Davidson, CVO FLHRSE3 ﾛｰﾄﾞｷﾝｸﾞ,アメリカン/クルーザー,1580.0
707,PG8,Harley-Davidson, CVO FLHRSE6,アメリカン/クルーザー,1800.0
708,PXN,Harley-Davidson, CVO Street Glide  CVO FLHXSE1800 ,アメリカン/クルーザー,1800.0
709,PZ8,Harley-Davidson, CVO Street Glide 2  CVO FLHXSE2 1800 ,アメリカン/クルーザー,1800.0
710,R1200GS,BMW, R1200GS,オフロード/モタード,1200.0
711,R1200GS-A,BMW, R1200GSｱﾄﾞﾍﾞﾝﾁｬｰ,オフロード/モタード,1200.0
712,RC04,HONDA, CB750FC,ネイキッド,750.0
713,RC25,HONDA, ｼｬﾄﾞｳ750,アメリカン/クルーザー,750.0
714,RC390JYJ42,KTM, RC390,スポーツ/ツアラー,390.0
715,RC42,HONDA, CB750,ネイキッド,750.0
716,RC60,HONDA, VFR800X,ネイキッド,780.0
717,RG42,YAMAHA, FZ25,ネイキッド,250.0
718,RG47,YAMAHA, XSR155,ネイキッド,155.0
719,RG631,YAMAHA, XSR155,ネイキッド,155.0
720,RG672,YAMAHA, YZFR15M ,スポーツ/ツアラー,155.0
721,RG674,YAMAHA, ,スポーツ/ツアラー,155.0
722,RH06,YAMAHA, YZFR3,スポーツ/ツアラー,320.0
723,RJ031,YAMAHA, YZFR6,スポーツ/ツアラー,600.0
724,RJ07,YAMAHA, FZ6 FAZER ﾚｵｳﾞｨﾝﾁ,スポーツ/ツアラー,600.0
725,RJ195,YAMAHA, XJ6N,ネイキッド,600.0
726,RJ228,YAMAHA, XJ6ﾃﾞｨﾊﾞｰｼﾞｮﾝF,スポーツ/ツアラー,600.0
727,RJ271,YAMAHA, YZFR6,スポーツ/ツアラー,600.0
728,RN01,YAMAHA, YZFR1,スポーツ/ツアラー,1000.0
729,RN09,YAMAHA, YZFR1,スポーツ/ツアラー,1000.0
730,RN13N,YAMAHA, YZFR1,スポーツ/ツアラー,1000.0
731,RN17N,YAMAHA, FZ1 FAZER,スポーツ/ツアラー,1000.0
732,RN39,YAMAHA, YZFR1,スポーツ/ツアラー,1000.0
733,RN40N,YAMAHA, YZFR1M,スポーツ/ツアラー,1000.0
734,RN49,YAMAHA, YZFR1,スポーツ/ツアラー,1000.0
735,RP01J,YAMAHA, XJR1300,ネイキッド,1300.0
736,RP121,YAMAHA, MT01,ネイキッド,1700.0
737,RP131,YAMAHA, FJR1300A,スポーツ/ツアラー,1300.0
738,RP17J,YAMAHA, XJR1300,ネイキッド,1300.0
739,RP22J,YAMAHA, VMAX,ネイキッド,1700.0
740,RP8M82,Vespa, Primaveraﾌﾟﾘﾏﾍﾞｰﾗ150ABS,スクーター/ビッグスクーター,150.0
741,S,HONDA, ﾓﾝｷｰ,ネイキッド,50.0
742,S1000RR,BMW, S1000RR,スポーツ/ツアラー,1000.0
743,S3F,KAWASAKI, 400SS,ネイキッド,400.0
744,SC30,HONDA, CB1000Super Four,ネイキッド,1000.0
745,SC35,HONDA, CBR1100XX,スポーツ/ツアラー,1100.0
746,SC36,HONDA, VTR1000F,スポーツ/ツアラー,1000.0
747,SC38,HONDA, X4,アメリカン/クルーザー,1300.0
748,SC40,HONDA, CB1300 SUPER FOUR,ネイキッド,1300.0
749,SC44,HONDA, CBR929RR,スポーツ/ツアラー,929.0
750,SC45,HONDA, RVT1000R,スポーツ/ツアラー,1000.0
751,SC50,HONDA, CBR954RR,スポーツ/ツアラー,954.0
752,SC60,HONDA, CB1000R,ネイキッド,1000.0
753,SEH1,YAMAHA,  ｼｸﾞﾅｽｸﾞﾘﾌｨｽ,スクーター/ビッグスクーター,125.0
754,SG22,YAMAHA, XMAX250,スクーター/ビッグスクーター,250.0
755,SG474,YAMAHA, AEROX155 ABS,スクーター/ビッグスクーター,155.0
756,SH15J,YAMAHA, TRICITY300,スクーター/ビッグスクーター,300.0
757,SH42A,SUZUKI, DF200E,オフロード/モタード,200.0
758,SJ091,YAMAHA, TMAX530,スクーター/ビッグスクーター,530.0
759,SJ092,YAMAHA, TMAX530 ABS,スクーター/ビッグスクーター,530.0
760,SMTDAD76HW,Triumph, Bonneville Bobber,ネイキッド,1200.0
761,SMTTE586,Triumph, Speed Triple,ネイキッド,1050.0
762,SMTTJ915,Triumph, Bonnevile T100 ,ネイキッド,865.0
763,SMTTMD406,Triumph, ｽﾄﾘｰﾄﾄﾘﾌﾟﾙ,ネイキッド,675.0
764,SMTTRE,Triumph, ｽﾋﾟｰﾄﾞﾀｲｶﾞｰ800XRT,オフロード/モタード,800.0
765,SMTTTL,Triumph, ｽﾄﾘｰﾄﾄﾘﾌﾟﾙ,ネイキッド,675.0
766,ST50,HONDA, ﾀﾞｯｸｽ50,ネイキッド,50.0
767,T120-1200,Triumph, Bonneville T120,ネイキッド,1200.0
768,T120-650,Triumph,　Bonneville T1,ネイキッド,650.0
769,TA8,Harley-Davidson, CVO Road Glide Ultra  CVO FLTRUSE1800 ,アメリカン/クルーザー,1800.0
770,TBH,Harley-Davidson, CVO TRI GLIDE  FLHTCUTGSE 1800,アメリカン/クルーザー,1920.0
771,TC8,Harley-Davidson, CVO FLTRXSE1800,アメリカン/クルーザー,1800.0
772,TD01,HONDA, ｼﾞｬｲﾛX,スクーター/ビッグスクーター,50.0
773,TD9,Harley-Davidson, CVO,アメリカン/クルーザー,1800.0
774,TG9,Harley-Davidson, CVO Pro Street Breakout  CVO FXSE1800 ,アメリカン/クルーザー,1800.0
775,TL125,HONDA, ﾊﾞｲｱﾙｽ,オフロード/モタード,125.0
776,TPN2,Triumph, Speed Triple RS,ネイキッド,1150.0
777,TRE68,Triumph, Tiger850Sport,オフロード/モタード,850.0
778,TS185,SUZUKI, TS185 2ｽﾄﾛｰｸﾓﾃﾞﾙ,オフロード/モタード,185.0
779,TU94,KTM, 890DUKE,ネイキッド,890.0
780,UA05J,YAMAHA, YB1 FOUR,ネイキッド,50.0
781,UA06J,YAMAHA, GEAR2 ﾋﾞｼﾞﾈｽｽｸｰﾀｰｲﾝｼﾞｪｸｼｮﾝﾓﾃﾞﾙｶｺﾞ◎,スクーター/ビッグスクーター,50.0
782,UA08J,YAMAHA, GEAR,スクーター/ビッグスクーター,50.0
783,UPV4,Husqvarna, VITPILEN 701,ネイキッド,701.0
784,V0201,Benelli, Tornado Naked T125,ネイキッド,125.0
785,VBKUN4,Husqvarna, ｳﾞｨｯﾄﾋﾟﾚﾝ401,ネイキッド,373.0
786,VBKUNJ4,Husqvarna, SVARTPILEN 401,ネイキッド,373.0
787,VN400A,KAWASAKI, VULCAN CLASSIC,アメリカン/クルーザー,400.0
788,VP10J,YAMAHA, ﾄﾞﾗｯｸﾞｽﾀｰ1100,アメリカン/クルーザー,1100.0
789,VP20E,YAMAHA, VMAX1200,ネイキッド,1200.0
790,VP20N,YAMAHA, VMAX VMX1200 4C45 ,ネイキッド,1200.0
791,VP27N,YAMAHA, XV1900CU Raider,アメリカン/クルーザー,1900.0
792,VP33E,YAMAHA, XVS1300CAｽﾄﾗｲｶｰ,アメリカン/クルーザー,1300.0
793,VP33N,YAMAHA, XVS1300CAｽﾄﾗｲｶｰ,アメリカン/クルーザー,1300.0
794,VR440,KTM, 1190RC8,スポーツ/ツアラー,1190.0
795,VR51A,SUZUKI, VS750 Intruder,アメリカン/クルーザー,750.0
796,VR540,KTM, 1190 RC8 R,スポーツ/ツアラー,1190.0
797,YBK,Harley-Davidson, FLHCS1870ｿﾌﾃｲﾙ,アメリカン/クルーザー,1870.0
798,YDJ,Harley-Davidson, FLSL1750ｿﾌﾃｲﾙｽﾘﾑ,アメリカン/クルーザー,1750.0
799,YGK,Harley-Davidson, FLFBS1870 ,アメリカン/クルーザー,1870.0
800,YJJE,Harley-Davidson, FXBB1750,アメリカン/クルーザー,1750.0
801,YNJ,Harley-Davidson, FXLR1750 ﾛｰﾗｲﾀﾞｰ ,アメリカン/クルーザー,1750.0
802,YYK,Harley-Davidson, FXBBS1870,アメリカン/クルーザー,1870.0
803,Z1F,KAWASAKI, ZⅠ,ネイキッド,900.0
804,Z2F,KAWASAKI, ZⅡ Z2A,ネイキッド,750.0
805,Z50J,HONDA, ﾓﾝｷｰ,ネイキッド,50.0
806,Z50Z,HONDA, ﾓﾝｷｰ,ネイキッド,50.0
807,ZAD-SY11J,YAMAHA, Eﾋﾞｰﾉ,スクーター/ビッグスクーター,50.0
808,ZAPM74200,Vespa, PX150,スクーター/ビッグスクーター,150.0
809,ZDMB201JAEB,Ducati, ﾊｲﾊﾟｰﾓﾀｰﾄﾞ821 ABS,オフロード/モタード,820.0
810,ZDMH704AA,Ducati, 1198S,スポーツ/ツアラー,1198.0
811,ZDMM406AA4B,Ducati, ﾓﾝｽﾀｰ800,ネイキッド,800.0
812,ZDMM603JA,Ducati, Monster 1200S,ネイキッド,1200.0
813,ZDMM603JAEB,Ducati, ﾓﾝｽﾀｰ1200,ネイキッド,1200.0
814,ZDMM605JAEB,Ducati, Monster 821,ネイキッド,820.0
815,ZES,Harley-Davidson, Pan America 1250Special  RA1250S ,アメリカン/クルーザー,1250.0
816,ZGT40A,KAWASAKI, 1400GTR,スポーツ/ツアラー,1400.0
817,ZR250B,KAWASAKI, BALIUSⅡ,ネイキッド,250.0
818,ZR400C,KAWASAKI, ZEPHYR χ,ネイキッド,400.0
819,ZR400E,KAWASAKI, ZRX400,ネイキッド,400.0
820,ZR750C,KAWASAKI, ZEPHYR750,ネイキッド,750.0
821,ZR800A,KAWASAKI, Z800,ネイキッド,800.0
822,ZRT00B,KAWASAKI, Z1000,ネイキッド,1000.0
823,ZRT00D,KAWASAKI, Z1000,ネイキッド,1000.0
824,ZRT00F,KAWASAKI, Z1000,ネイキッド,1000.0
825,ZRT00J,KAWASAKI, Z1000 Rｴﾃﾞｨｼｮﾝ,ネイキッド,1000.0
826,ZRT10A,KAWASAKI, ZEPHYR1100,ネイキッド,1100.0
827,ZRT10C,KAWASAKI, ZRX1100,ネイキッド,1100.0
828,ZRT20A,KAWASAKI, ZRX1200R,ネイキッド,1200.0
829,ZX400C,KAWASAKI, GPZ400,ネイキッド,400.0
830,ZX4R,KAWASAKI, Ninja ZX6Rﾊﾞｯｸｽﾃｯﾌﾟ,スポーツ/ツアラー,600.0
831,ZX636E,KAWASAKI, Ninja ZX6R ABS Special Edition ,スポーツ/ツアラー,600.0
832,ZX636EE,KAWASAKI, NINJA,スポーツ/ツアラー,600.0
833,ZX636EF,KAWASAKI, Ninja ZX6R ABS ,スポーツ/ツアラー,636.0
834,ZX636G,KAWASAKI, Ninja,スポーツ/ツアラー,600.0
835,ZX900A,KAWASAKI, GPZ900R,スポーツ/ツアラー,900.0
836,ZXCG,KAWASAKI, NINJA 1000,スポーツ/ツアラー,1000.0
837,ZXCL,KAWASAKI, ﾆﾝｼﾞｬ1000,スポーツ/ツアラー,1000.0
838,ZXNA,KAWASAKI, ZX14,スポーツ/ツアラー,1400.0
839,ZXNC,KAWASAKI, Ninja ZX14 ･,スポーツ/ツアラー,1400.0
840,ZXNE,KAWASAKI, ZX14R,スポーツ/ツアラー,1400.0
841,ZXT00C,KAWASAKI, Ninja ZX10R,スポーツ/ツアラー,1000.0
842,ZXT00E,KAWASAKI, Ninja,スポーツ/ツアラー,1000.0
843,ZXT00F,KAWASAKI, ZX10R,スポーツ/ツアラー,1000.0
844,ZXT00G,KAWASAKI, NINJA1000,スポーツ/ツアラー,1000.0
845,ZXT00H,KAWASAKI, NINJA1000,スポーツ/ツアラー,1000.0
846,ZXT00J,KAWASAKI, NINJA,スポーツ/ツアラー,1000.0
847,ZXT00L,KAWASAKI, NINJA 1000 ABS,スポーツ/ツアラー,1000.0
848,ZXT00M,KAWASAKI,  Ninjaﾆﾝｼﾞｬ1000ABS,スポーツ/ツアラー,1000.0
849,ZXT00N,KAWASAKI, Ninja,スポーツ/ツアラー,1000.0
850,ZXT00S,KAWASAKI, Ninja ZX10R ABS KRT Edition,スポーツ/ツアラー,1000.0
851,ZXT40A,KAWASAKI, ZZR1400 ,スポーツ/ツアラー,1400.0
852,ZXT40E,KAWASAKI, Ninja ZX14R ABS,スポーツ/ツアラー,1400.0
853,ZXT40F,KAWASAKI, Ninja ZX14R Special Edition,スポーツ/ツアラー,1400.0
